"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - PETROBRAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015,31/12/2015,31/03/2016,30/06/2016,30/09/2016,31/12/2016,31/03/2017,30/06/2017,30/09/2017,31/12/2017,31/03/2018,30/06/2018,30/09/2018,31/12/2018,31/03/2019,30/06/2019,30/09/2019,31/12/2019,31/03/2020,30/06/2020,30/09/2020,31/12/2020,31/03/2021,30/06/2021,30/09/2021,31/12/2021,31/03/2022,30/06/2022,30/09/2022,31/12/2022,31/03/2023,30/06/2023,30/09/2023,31/12/2023,31/03/2024
Investimentos,5.499.256,5.588.953,3.148.357,5.676.750,8.489.187,8.773.659,8.879.163,9.222.102,9.237.263,9.095.671,12.248.080,12.324.189,11.864.898,12.150.947,12.476.892,11.755.720,14.610.342,15.104.980,15.615.384,15.619.421,15.669.000,15.537.000,15.282.000,15.856.000,15.587.000,15.987.000,13.772.000,14.215.999,13.088.000,12.955.000,9.948.000,10.699.000,12.307.000,12.660.000,12.554.000,12.674.000,12.287.000,13.396.000,10.690.000,11.266.000,14.584.001,23.579.001,22.166.000,19.972.999,19.007.001,17.119.000,17.010.000,18.044.000,10.296.001,10.247.000,8.427.000,9.601.000,8.993.000,9.041.000,8.172.000,8.314.000,7.921.000,6.879.000,6.574.000,6.168.000
Imobilizado,207.843.049,217.877.053,230.230.508,240.384.786,255.024.218,265.329.852,282.837.549,294.164.759,304.924.525,327.771.652,342.266.905,353.667.252,373.934.588,388.646.502,418.715.664,431.874.146,451.353.346,464.647.619,533.880.308,544.913.654,559.334.949,591.605.989,580.990.009,611.378.004,615.095.992,657.873.043,629.830.975,619.223.974,601.165.988,573.385.998,571.875.983,569.235.014,575.241.978,570.782.974,584.356.987,585.947.021,605.484.024,610.728.018,609.828.995,709.226.988,677.471.977,668.741.992,641.948.975,589.814.039,591.299.019,590.854.029,645.433.983,634.712.031,629.848.998,703.868.043,699.406.025,687.050.981,667.422.949,671.067.013,679.182.008,678.621.020,706.646.966,725.455.995,742.774.014,750.483.014
Intangível,7.260.230,6.878.960,6.808.331,8.393.765,8.510.031,83.113.271,83.098.190,82.841.469,82.679.431,83.513.065,82.283.987,82.135.908,82.293.416,82.314.019,81.206.755,81.037.361,79.993.561,80.513.778,36.121.194,35.978.473,35.958.002,17.773.001,11.975.999,12.238.000,12.005.000,12.133.000,12.071.999,11.860.000,11.579.000,10.886.000,10.663.000,10.597.000,10.550.000,10.238.000,7.740.000,7.806.000,7.726.000,10.855.000,10.870.000,10.854.000,9.900.000,9.907.000,78.489.002,78.521.999,78.461.002,77.604.004,77.678.002,77.585.998,77.639.000,16.601.000,16.879.000,16.966.000,17.042.000,15.422.000,15.581.000,15.499.000,16.321.000,14.603.000,14.726.000,14.819.000
Diferido,2.598.865,2.521.416,2.365.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Total,305.265.345,333.789.528,345.607.274,365.998.080,382.029.857,507.697.037,519.970.030,544.945.275,554.583.458,582.124.896,599.149.969,615.818.461,628.027.752,646.683.165,677.716.296,695.313.170,749.027.656,758.432.793,752.966.631,802.014.626,800.370.000,815.741.010,793.374.949,831.948.063,859.298.988,931.561.996,900.134.994,859.159.986,818.332.041,803.206.005,804.945.002,788.046.021,808.054.030,803.870.015,831.515.001,824.153.014,850.281.955,866.755.936,860.473.000,949.086.978,965.248.025,924.465.037,926.011.032,971.644.994,1.015.142.023,965.430.018,987.418.984,998.283.018,941.446.988,974.689.010,972.950.995,998.662.013,1.004.753.977,947.574.014,976.708.960,978.576.998,990.459.003,1.025.495.990,1.050.887.979,1.067.292.033
Passivo Circulante,55.737.373,52.317.192,58.029.638,60.148.105,63.321.108,65.310.036,56.834.675,60.590.326,60.821.152,67.711.238,68.212.335,65.952.465,62.912.119,64.248.496,69.620.580,68.529.086,68.163.985,69.960.163,82.524.529,83.746.333,75.255.996,84.708.000,82.659.000,90.358.997,100.595.999,109.719.003,111.572.001,107.458.003,83.681.001,82.830.000,81.167.000,78.477.001,69.968.003,71.248.003,82.534.998,78.116.004,84.649.001,94.071.996,97.067.999,113.538.998,138.346.004,133.660.000,116.147.003,134.836.994,144.168.993,140.706.005,136.287.011,124.469.002,115.928.998,138.664.002,134.912.991,130.221.998,171.156.996,135.807.009,163.731.014,128.450.003,151.599.006,154.571.014,163.927.998,153.876.005
Obrigações Sociais e Trabalhistas,0,0,0,0,0,0,2.605.810,2.568.596,2.942.302,3.340.274,3.182.067,2.974.570,3.436.238,4.059.793,4.420.579,4.163.907,4.863.915,6.480.930,4.806.121,6.361.671,5.709.000,7.931.000,5.489.000,6.168.000,5.472.000,6.156.000,5.085.000,4.871.000,6.081.000,8.261.000,7.159.000,6.020.000,5.217.000,5.240.000,4.331.000,4.920.000,6.013.000,6.781.000,6.426.000,7.082.000,6.511.000,7.370.000,6.632.000,6.152.000,9.284.000,10.609.000,10.150.000,9.655.000,9.092.000,9.182.000,8.335.000,7.743.000,6.814.000,8.190.000,7.805.000,8.080.000,6.843.000,8.839.000,9.802.000,9.521.000
Fornecedores,14.498.820,14.813.655,16.980.678,16.191.082,16.340.192,19.580.197,17.043.678,18.600.657,18.616.455,21.156.510,21.417.527,20.490.271,22.352.372,25.374.960,23.735.509,24.117.803,24.127.445,24.648.884,26.721.401,26.905.199,27.551.001,27.658.000,25.924.000,25.067.999,24.580.999,26.641.000,24.913.000,20.754.999,17.840.001,17.334.000,18.781.000,14.925.000,17.001.000,18.948.999,19.076.999,18.027.000,20.768.999,27.458.001,24.516.000,22.912.000,21.831.999,24.356.999,22.576.001,30.262.000,21.419.000,24.438.999,35.645.002,29.056.999,26.677.000,29.501.999,30.596.999,28.029.000,28.953.999,28.164.000,28.507.001,25.643.000,26.168.001,23.382.999,23.302.001,25.801.001
Obrigações Fiscais,12.780.767,10.119.230,12.747.880,9.842.337,8.966.471,9.327.789,10.250.098,10.792.274,11.546.982,11.268.713,10.968.716,10.968.638,11.034.226,10.521.299,12.521.622,11.732.359,10.357.364,11.071.224,11.596.803,734.543,838.000,823.000,657.000,1.028.000,910.000,860.000,410.000,1.125.000,669.000,647.000,412.000,237.000,2.162.000,1.151.000,990.000,1.625.000,1.648.000,1.514.000,817.000,1.464.000,4.286.000,574.000,1.114.000,998.000,1.144.000,740.000,1.029.000,832.000,871.000,3.140.000,4.089.000,4.895.000,10.065.000,8.568.000,15.045.000,6.891.000,2.746.000,8.085.000,6.295.000,5.031.000
Empréstimos e Financiamentos,12.622.364,10.224.218,14.887.211,20.335.481,25.618.768,22.686.153,15.668.290,16.595.449,16.737.001,20.019.053,18.966.327,18.018.198,17.610.772,15.340.941,15.319.805,14.564.371,18.199.052,18.189.128,18.782.900,21.843.616,23.535.000,28.242.999,31.565.001,39.721.001,44.655.002,53.376.000,57.381.999,62.125.998,36.513.001,37.100.999,31.855.000,34.971.001,25.984.999,23.428.999,23.243.999,15.474.000,15.353.000,16.235.000,14.296.001,36.082.999,44.380.000,54.861.001,41.138.999,59.234.001,66.282.000,68.367.999,51.364.000,49.349.001,42.206.999,49.538.998,50.631.000,43.318.002,48.923.001,46.727.999,47.650.001,49.483.002,49.818.001,55.139.000,55.780.999,61.797.999
